name,groesse,gewicht,verein
Alexandru Maxim,"1,77",73,VfB Stuttgart
Gotoku Sakai,"1,76",74,VfB Stuttgart
Sercan Sararer,"1,80",80,VfB Stuttgart
Konstantin Rausch,"1,78",80,VfB Stuttgart
Michael Gregoritsch,"1,91",74,VfL Bochum
Jan Simunek,"1,87",72,VfL Bochum
Simon Terodde,"1,92",78,VfL Bochum
Stanislav Sestak,"1,80",70,VfL Bochum
Timo Perthel,"1,83",73,VfL Bochum
Stefano Celozzi,"1,71",65,VfL Bochum
Michael Lumb,"1,77",70,VfL Bochum
Christian Tiffert,"1,83",75,VfL Bochum
Marco Terrazzino,"1,76",70,VfL Bochum
Carsten Rothenbach,"1,85",78,VfL Bochum
Danny Latza,"1,80",75,VfL Bochum
Mikael Forssell,"1,84",79,VfL Bochum
Lukas Sinkiewicz,"1,86",81,VfL Bochum
Marcel Maltritz,"1,86",81,VfL Bochum
Ken Ilsö,"1,83",79,VfL Bochum
Michael Delura,"1,91",86,VfL Bochum
Patrick Fabian,"1,94",89,VfL Bochum
Andreas Luthe,"1,94",90,VfL Bochum
Heiko Butscher,"1,89",86,VfL Bochum
Kevin De Bruyne,"1,80",68,VfL Wolfsburg
Marcel Schäfer,"1,84",71,VfL Wolfsburg
Bas Dost,"1,91",78,VfL Wolfsburg
Sebastian Jung,"1,78",68,VfL Wolfsburg
Bjarne Thoelke,"1,92",80,VfL Wolfsburg
Aaron Hunt,"1,83",73,VfL Wolfsburg
Andre Schürrle,"1,84",74,VfL Wolfsburg
Patrick Ochs,"1,79",71,VfL Wolfsburg
Ricardo Rodríguez,"1,80",72,VfL Wolfsburg
Diego Benaglio,"1,92",82,VfL Wolfsburg
Christian Träsch,"1,80",73,VfL Wolfsburg
Ibrahim Sissoko,"1,77",71,VfL Wolfsburg
Ivan Perisic,"1,80",74,VfL Wolfsburg
Daniel Caligiuri,"1,86",80,VfL Wolfsburg
Max Grün,"1,91",85,VfL Wolfsburg
Timm Klose,"1,93",87,VfL Wolfsburg
Patrick Drewes,"1,93",87,VfL Wolfsburg
Felipe Lopes,"1,88",84,VfL Wolfsburg
Kevin Scheidhauer,"1,90",90,VfL Wolfsburg
Dieter Hecking,"1,77",79,VfL Wolfsburg
Robin Knoche,"1,72",75,VfL Wolfsburg
Gianluca Korte,"1,77",68,VfR Aalen
Sebastian Neumann,"1,86",75,VfR Aalen
Nejmeddin Daghfous,"1,78",70,VfR Aalen
Markus Steinhöfer,"1,75",69,VfR Aalen
Daniel Bernhardt,"1,89",81,VfR Aalen
Arne Feick,"1,80",74,VfR Aalen
Jürgen Gjasula,"1,86",79,VfR Aalen
Andreas Ludwig,"1,72",68,VfR Aalen
Oliver Barth,"1,88",82,VfR Aalen
Manuel Junglas,"1,79",75,VfR Aalen
